Fitness,Player_Life,Enemy_Life,Time,Generataion
84.5736468403983,5.800000000000233,0,406,0
65.93389190989625,0,20.0,431,0
2.43224472101787,93.40000000000006,100,1000,0
-0.9277552789821035,59.80000000000033,100,1000,0
88.68283177470683,41.80000000000029,0,244,1
88.23275134159977,38.20000000000028,0,267,1
85.06106343805334,10.60000000000023,0,403,1
84.5736468403983,5.800000000000233,0,406,1
88.68283177470683,41.80000000000029,0,244,2
88.68283177470683,41.80000000000029,0,244,2
88.68283177470683,41.80000000000029,0,244,2
88.54164533066628,41.80000000000029,0,281,2
89.05482255552046,46.0000000000003,0,256,3
88.68283177470683,41.80000000000029,0,244,3
88.68283177470683,41.80000000000029,0,244,3
88.68283177470683,41.80000000000029,0,244,3
89.05482255552046,46.0000000000003,0,256,4
89.05482255552046,46.0000000000003,0,256,4
89.05482255552046,46.0000000000003,0,256,4
89.05482255552046,46.0000000000003,0,256,4
89.31853908213779,48.400000000000304,0,250,5
89.05482255552046,46.0000000000003,0,256,5
89.05482255552046,46.0000000000003,0,256,5
89.05482255552046,46.0000000000003,0,256,5
89.31853908213779,48.400000000000304,0,250,6
89.31853908213779,48.400000000000304,0,250,6
89.05482255552046,46.0000000000003,0,256,6
89.05482255552046,46.0000000000003,0,256,6
