Fitness,Player_Life,Enemy_Life,Time,Generataion
74.87750719048562,0,10.0,456,0
6.7522447210178935,46.6000000000003,90.0,1000,0
-1.527755278982105,53.80000000000032,100,1000,0
-5.307755278982114,16.000000000000227,100,1000,0
88.66521039683077,43.00000000000029,0,280,1
88.58901301948917,41.80000000000029,0,268,1
88.39968822339262,41.20000000000029,0,305,1
88.1596882233926,38.80000000000028,0,305,1
88.66521039683077,43.00000000000029,0,280,2
88.66521039683077,43.00000000000029,0,280,2
88.66521039683077,43.00000000000029,0,280,2
88.66521039683077,43.00000000000029,0,280,2
88.66521039683077,43.00000000000029,0,280,3
88.66521039683077,43.00000000000029,0,280,3
88.66521039683077,43.00000000000029,0,280,3
88.66521039683077,43.00000000000029,0,280,3
88.66521039683077,43.00000000000029,0,280,4
88.66521039683077,43.00000000000029,0,280,4
88.66521039683077,43.00000000000029,0,280,4
88.66521039683077,43.00000000000029,0,280,4
88.66521039683077,43.00000000000029,0,280,5
88.66521039683077,43.00000000000029,0,280,5
88.66521039683077,43.00000000000029,0,280,5
88.66521039683077,43.00000000000029,0,280,5
88.66521039683077,43.00000000000029,0,280,6
88.66521039683077,43.00000000000029,0,280,6
88.66521039683077,43.00000000000029,0,280,6
88.66521039683077,43.00000000000029,0,280,6
